Time,Correct,Real cid,Classified cid,Score,Percentage,Queue Distribution
10054,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 34}}"
10070,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 35}}"
10105,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 6}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 36}}"
10162,False,56.0,20.0,0.17763225333048746,0.5,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 7}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 36}}"
10174,False,56.0,20.0,0.17916631512343884,0.4666666666666667,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 36}}"
10209,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 37}}"
10241,False,56.0,17.0,0.08243522047996521,0.5,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 37}}"
10260,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 38}}"
10271,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 39}}"
10281,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 40}}"
10331,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 41}}"
10340,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 42}}"
10397,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 43}}"
10415,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 44}}"
10436,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 45}}"
10454,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 46}}"
10483,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 47}}"
10492,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 48}}"
10538,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 49}}"
10561,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 50}}"
10588,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 51}}"
10602,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 52}}"
10615,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 53}}"
10645,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 54}}"
10696,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 55}}"
10732,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 56}}"
10749,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 57}}"
10775,True,56.0,56.0,0.17434746977960458,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 58}}"
10824,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 59}}"
10836,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 60}}"
10855,True,56.0,56.0,0.18327153568970972,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 61}}"
10875,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 62}}"
10910,True,56.0,56.0,0.16819596087589161,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 63}}"
10937,True,56.0,56.0,0.1742814217141131,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 64}}"
10970,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 65}}"
10979,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 66}}"
10998,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 67}}"
11040,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 68}}"
11089,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 69}}"
11124,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 70}}"
11133,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 8}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 71}}"
11139,False,56.0,20.0,0.19358563770850498,0.4375,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 9}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 71}}"
11176,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 9}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 72}}"
11300,True,56.0,56.0,0.17531760620622663,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1, 56.0: 1}, 20.0: {20.0: 7, 56.0: 9}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 73}}"
