Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
8101,64.0,64.0,0.24031487107276917,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 2}}",True,1.0,2,True
9386,64.0,64.0,0.23977909982204437,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 3}}",True,1.0,3,True
9478,64.0,64.0,0.23967128495375314,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 4}}",True,1.0,4,True
10416,64.0,64.0,0.2399173006415367,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 5}}",True,1.0,5,True
11330,64.0,64.0,0.23935673534870147,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 6}}",True,1.0,6,True
12435,64.0,64.0,0.23961166540781656,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 7}}",True,1.0,7,True
12454,64.0,64.0,0.23964502555983408,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 8}}",True,1.0,8,True
12522,64.0,64.0,0.2394467294216156,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 9}}",True,1.0,9,True
13181,64.0,64.0,0.23973033991124895,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 1}, 64.0: {64.0: 10}}",True,1.0,10,True
13869,60.0,60.0,0.0751509964466095,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 10}}",True,1.0,2,True
13888,64.0,64.0,0.2395590916275978,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 11}}",True,1.0,11,True
13981,64.0,64.0,0.2393545616756786,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 12}}",True,1.0,12,True
14095,64.0,64.0,0.23962507769465446,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}}",True,1.0,13,True
15502,79.0,79.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 1}}",True,1.0,1,True
15555,79.0,79.0,0.07345849275588989,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 2}}",True,1.0,2,True
15561,79.0,79.0,0.07395989075303078,"{1.0: {1.0: 1}, 7.0: {7.0: 38, 24.0: 1}, 24.0: {24.0: 2, 7.0: 35}, 60.0: {60.0: 2}, 64.0: {64.0: 13}, 79.0: {79.0: 3}}",True,1.0,3,True
