Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
9161,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 32}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
9210,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 1, 86.0: 0, 80.0: 0}",0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 0, 86.0: 0, 101.0: 0, 116.0: 0}"
9280,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 1, 86.0: 0, 80.0: 0}",1.0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 0, 86.0: 0, 101.0: 0, 116.0: 6}"
9357,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 2, 86.0: 0, 80.0: 0}",1.0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 0, 86.0: 0, 101.0: 0, 116.0: 6}"
6262,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 33}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6312,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 34}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6315,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 35}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6318,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 36}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6321,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 37}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6328,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 38}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6334,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 39}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6336,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 40}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6342,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 41}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6348,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 42}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6359,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 43}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6371,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 44}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6379,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 45}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6385,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 46}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6399,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 47}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6413,0.8333333333333334,"{44.0: 0, 45.0: 1, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 5, 80.0: 0}",0.8571428571428571,"{41.0: 0, 45.0: 0, 2.0: 1, 8.0: 0, 80.0: 0, 86.0: 6, 101.0: 0, 116.0: 0}"
6422,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 48}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6480,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 49}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6567,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 50}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6593,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 51}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6604,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 52}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6609,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 53}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6611,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 54}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6618,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 55}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6631,0.017857142857142856,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 55}",0.0,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6650,0.9824561403508771,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 56}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6656,0.9827586206896551,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 57}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6672,0.9830508474576272,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 58}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6799,0.9833333333333333,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 59}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6800,0.9836065573770492,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 60}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6810,0.9838709677419355,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 61}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6904,0.9841269841269841,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 62}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6906,0.984375,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 63}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6908,0.9846153846153847,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 64}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
6909,0.9848484848484849,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 65}",0.975,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 78, 86.0: 1, 101.0: 0, 116.0: 0}"
7007,0.9850746268656716,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 66}",0.9770114942528736,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 85, 86.0: 1, 101.0: 0, 116.0: 0}"
7008,0.9852941176470589,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 67}",0.9770114942528736,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 85, 86.0: 1, 101.0: 0, 116.0: 0}"
7010,0.9855072463768116,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 68}",0.9770114942528736,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 85, 86.0: 1, 101.0: 0, 116.0: 0}"
7014,0.9857142857142858,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 69}",0.9770114942528736,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 85, 86.0: 1, 101.0: 0, 116.0: 0}"
8491,0.9859154929577465,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 1, 80.0: 70}",0.979381443298969,"{41.0: 0, 45.0: 1, 2.0: 0, 8.0: 0, 80.0: 95, 86.0: 1, 101.0: 0, 116.0: 0}"
