50.0,28.0,29.0,68.0,121.0,133.0,148.0,156.0,169.0,182.0,230.0,246.0,313.0,319.0,369.0,400.0,463.0
Time,Coflow id,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
9829,156.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 2}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0}"
9992,156.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 3}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0}"
10018,169.0,1.0,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 0}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0}"
10126,156.0,0.25,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 3}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0}"
10480,156.0,0.8,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 4}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0}"
10739,156.0,0.8333333333333334,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 5}",0.6666666666666666,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 2, 146.0: 0, 148.0: 0, 156.0: 4}"
10749,156.0,0.2857142857142857,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 5}",0.6666666666666666,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 2, 146.0: 0, 148.0: 0, 156.0: 4}"
10787,156.0,0.75,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 6}",0.5,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 2, 146.0: 2, 148.0: 0, 156.0: 4}"
10833,156.0,0.1111111111111111,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 6}",0.1111111111111111,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 2, 146.0: 2, 148.0: 0, 156.0: 4}"
10968,156.0,0.7,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 7}",0.16666666666666666,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 3, 146.0: 2, 148.0: 0, 156.0: 6}"
10993,156.0,0.7272727272727273,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 8}",0.25,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 3, 146.0: 2, 148.0: 0, 156.0: 6}"
11043,156.0,0.75,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 9}",0.42857142857142855,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 5, 146.0: 2, 148.0: 0, 156.0: 6}"
11089,156.0,0.7692307692307693,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 10}",0.42857142857142855,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 5, 146.0: 2, 148.0: 0, 156.0: 6}"
11123,156.0,0.7857142857142857,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 0, 156.0: 11}",0.4,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 6, 146.0: 2, 148.0: 0, 156.0: 6}"
11131,156.0,0.06666666666666667,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 11}",0.13333333333333333,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 6, 146.0: 2, 148.0: 0, 156.0: 6}"
11225,156.0,0.75,"{50.0: 1, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 12}",0.4117647058823529,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 7, 146.0: 3, 148.0: 0, 156.0: 6}"
11248,156.0,0.11764705882352941,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 12}",0.058823529411764705,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 7, 146.0: 3, 148.0: 0, 156.0: 6}"
11368,156.0,0.7222222222222222,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 13}",0.4,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 4, 148.0: 0, 156.0: 7}"
11512,156.0,0.7368421052631579,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 14}",0.38095238095238093,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 4, 148.0: 0, 156.0: 8}"
11586,156.0,0.75,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 15}",0.36363636363636365,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 5, 148.0: 0, 156.0: 8}"
